店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
ZENT上地,13.0,97.0,-113.26804123711341,6419.639175257732,0.35051546391752575
キング観光サウザンド今池2号,41.0,315.0,-135.9047619047619,4320.568253968254,0.4031746031746032
プレイランドキャッスル上社,43.0,430.0,-136.29302325581395,3319.0767441860467,0.38372093023255816
ZENT豊田本店,34.0,461.0,-136.5054229934924,7609.0911062906725,0.42516268980477223
JP888,33.0,335.0,-139.05671641791045,6860.355223880597,0.40298507462686567
ZENT稲沢,31.0,532.0,-145.29887218045113,2975.1127819548874,0.41353383458646614
サンシャインKYORAKU平針,32.0,328.0,-146.46646341463415,4911.881097560976,0.39939024390243905
リブレ遊援館,35.0,444.0,-147.58783783783784,5154.326576576576,0.36261261261261263
プレイランドキャッスル大曽根,52.0,810.0,-148.1259259259259,4133.432098765432,0.3950617283950617
メガコンコルド春日井,37.0,597.0,-150.52093802345058,7279.492462311558,0.39865996649916247
マルシン777,32.0,427.0,-151.10304449648712,3117.208430913349,0.40749414519906324
プレイランド第一平和,32.0,151.0,-156.03311258278146,1902.0993377483444,0.3443708609271523
パーラーワールド小牧,59.0,191.0,-156.12041884816753,1848.1204188481674,0.32460732984293195
ラッキープラザ名古屋西インター七宝,35.0,591.0,-158.00338409475467,3531.8934010152284,0.40439932318104904
キング観光新瑞,40.0,173.0,-160.08092485549133,2720.5375722543354,0.3583815028901734
タイキ豊橋藤沢,18.0,176.0,-160.13636363636363,3766.130681818182,0.32954545454545453
ホームラン四日市,13.0,65.0,-163.5076923076923,4057.2615384615383,0.3384615384615385
ホームラン四日市駅西,13.0,131.0,-166.8091603053435,3606.2290076335876,0.31297709923664124
メガガイア一宮,38.0,674.0,-167.2091988130564,2765.719584569733,0.3664688427299703
ダイマル星崎,16.0,177.0,-167.56497175141243,6108.774011299435,0.4011299435028249
キング666一宮,32.0,248.0,-170.97177419354838,2446.9475806451615,0.3346774193548387
ゴー港,35.0,102.0,-180.91176470588235,1733.8333333333333,0.20588235294117646
ホームラン津,11.0,103.0,-181.16504854368932,5391.194174757282,0.2912621359223301
ラッキープラザ弥富,37.0,204.0,-181.86274509803923,2767.6666666666665,0.35294117647058826
M&K道光寺,19.0,140.0,-182.40714285714284,2703.057142857143,0.35714285714285715
ZENT猪高,9.0,82.0,-185.5121951219512,3710.9024390243903,0.3170731707317073
FUJI芸濃,12.0,33.0,-189.93939393939394,1442.8484848484848,0.24242424242424243
キング666東海,31.0,389.0,-198.12082262210797,4213.172236503856,0.38817480719794345
グランドオータ鳴海,41.0,536.0,-202.22761194029852,2770.2014925373132,0.3656716417910448
KEIZ尾張旭,14.0,271.0,-205.62730627306274,5892.413284132841,0.4059040590405904
プレイランドキャッスル記念橋南,44.0,428.0,-205.69626168224298,4959.7336448598135,0.37850467289719625
ホームラン菰野,17.0,188.0,-207.9095744680851,4277.260638297872,0.34574468085106386
ZENT住吉,28.0,476.0,-209.25840336134453,6962.773109243697,0.40336134453781514
A-FLAG瀬戸,35.0,118.0,-216.90677966101694,2459.7542372881358,0.3728813559322034
がちゃぽん南,32.0,245.0,-220.47755102040816,5814.881632653061,0.42448979591836733
ダイエー守山,14.0,74.0,-223.90540540540542,3155.445945945946,0.36486486486486486
マリオンガーデン1000,16.0,135.0,-228.74074074074073,2098.7703703703705,0.24444444444444444
メガコンコルド大口41号通り,34.0,817.0,-233.14198286413708,3368.1272949816403,0.36964504283965727
KYORAKU西,27.0,304.0,-233.53618421052633,3700.2631578947367,0.3190789473684211
キング666半田,19.0,154.0,-240.87012987012986,6265.993506493506,0.3961038961038961
キング観光サウザンド栄若宮大通,34.0,1614.0,-245.12143742255267,7417.418835192069,0.40272614622057
KOHAKU天白,10.0,34.0,-255.2941176470588,2675.676470588235,0.38235294117647056
キング観光いなべ,45.0,291.0,-258.60137457044675,3991.6460481099657,0.41580756013745707
タイキ稲沢駅前,15.0,175.0,-258.80571428571426,2054.4914285714285,0.3142857142857143
パチンコ立岩,29.0,136.0,-261.8897058823529,5747.198529411765,0.38235294117647056
メガコンコルドBLAZE,29.0,827.0,-263.80894800483674,7521.598548972189,0.4111245465538089
ZENT岡崎インター,28.0,709.0,-267.42454160789845,7302.4541607898445,0.38081805359661497
yout勝川,18.0,63.0,-276.4920634920635,1564.7460317460318,0.2857142857142857
メガコンコルド岡崎インター,28.0,954.0,-278.94444444444446,7924.516771488469,0.40461215932914046
ぱちんこ太陽,13.0,89.0,-281.2022471910112,1902.6404494382023,0.2808988764044944
M&K本店,26.0,339.0,-283.2448377581121,3340.156342182891,0.3480825958702065
ラッキープラザ可児,38.0,295.0,-285.18305084745765,4786.17627118644,0.36610169491525424
キング観光サウザンド近鉄四日市,43.0,426.0,-289.98826291079814,4610.9131455399065,0.38028169014084506
メガスロットコンコルド吉浜,44.0,340.0,-290.7294117647059,6190.264705882353,0.3941176470588235
プレイランドキャッスル東郷,19.0,568.0,-292.2904929577465,3570.2359154929577,0.3626760563380282
プレイランドキャッスル春日井,38.0,981.0,-293.1172273190622,7334.266055045871,0.39755351681957185
コンコルド一宮尾西インター,39.0,442.0,-293.3438914027149,2629.239819004525,0.3552036199095023
オータ豊橋,16.0,150.0,-294.61333333333334,4378.093333333333,0.34
パチンコ富士養老,9.0,55.0,-297.2,1388.7636363636364,0.2545454545454545
メガコンコルド刈谷知立,34.0,793.0,-299.52080706179066,7621.432534678436,0.4136191677175284
KEIZ多治見,10.0,261.0,-318.632183908046,3424.6206896551726,0.3333333333333333
タイキ伊勢小木,15.0,98.0,-321.7857142857143,3155.377551020408,0.30612244897959184
メガコンコルド豊田インター,41.0,694.0,-324.14841498559076,6901.5,0.42795389048991356
SUN池田,10.0,31.0,-326.48387096774195,2289.8709677419356,0.22580645161290322
ハイ-ブリっヂ,11.0,56.0,-328.3392857142857,2662.214285714286,0.4107142857142857
僕のAPAN美のかも,15.0,83.0,-343.7831325301205,3326.1686746987953,0.2289156626506024
メガコンコルド岡崎北,31.0,452.0,-348.353982300885,6825.5353982300885,0.3915929203539823
ラッキー1番江南,33.0,195.0,-349.6102564102564,3440.051282051282,0.3641025641025641
ラッキープラザ津島,36.0,146.0,-349.9657534246575,2266.2602739726026,0.3356164383561644
キング観光熊野,56.0,194.0,-360.1958762886598,2596.298969072165,0.32989690721649484
Suns四日市インター,15.0,35.0,-363.85714285714283,1292.4571428571428,0.3142857142857143
キング観光サウザンド鈴鹿,41.0,851.0,-366.7508813160987,5295.450058754406,0.3854289071680376
オーギヤ二川,12.0,104.0,-388.5769230769231,4348.721153846154,0.25
メガコンコルド名古屋みなと23号通り,34.0,699.0,-400.0758226037196,7722.795422031473,0.39341917024320455
ZENT梅坪,33.0,616.0,-400.22564935064935,7640.237012987013,0.38961038961038963
プレイランドキャッスル大垣,35.0,937.0,-401.3137673425827,5650.526147278549,0.3660618996798292
ホームラン川越,11.0,179.0,-402.122905027933,4642.9553072625695,0.29608938547486036
ZENT大清水,12.0,58.0,-403.44827586206895,1785.4310344827586,0.3793103448275862
メガコンコルド西尾,53.0,232.0,-408.10775862068965,4068.435344827586,0.33620689655172414
キング観光名張,64.0,231.0,-415.9177489177489,1779.7012987012988,0.3593073593073593
