店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,Lバンドリ!,2.0,11,21,-323.2857142857143,1556.047619047619,0.19047619047619047
A-FLAG津,Lバンドリ!,3.0,11,20,-462.85,1130.15,0.25
A-FLAG津,Lバンドリ!,4.0,11,20,-87.25,1034.2,0.25
A-FLAG津,Lバンドリ!,5.0,10,18,-254.11111111111111,974.3333333333334,0.2222222222222222
A-FLAG津,Lバンドリ!,6.0,11,20,-131.75,923.3,0.2
A-FLAG津,Lバンドリ!,7.0,10,19,30.0,631.3157894736842,0.3684210526315789
A-FLAG津,Lバンドリ!,8.0,10,19,-81.42105263157895,792.8947368421053,0.2631578947368421
A-FLAG津,Lバンドリ!,9.0,9,17,69.41176470588235,1126.3529411764705,0.23529411764705882
A-FLAG津,Lパチスロ ありふれた職業で世界最強,0.0,40,100,-76.48,826.22,0.22
A-FLAG津,Lパチスロ ありふれた職業で世界最強,1.0,50,124,-4.959677419354839,764.6774193548387,0.14516129032258066
A-FLAG津,Lパチスロ ありふれた職業で世界最強,2.0,41,101,-218.53465346534654,852.3366336633663,0.18811881188118812
A-FLAG津,Lパチスロ ありふれた職業で世界最強,3.0,42,106,117.80188679245283,899.5188679245283,0.2641509433962264
A-FLAG津,Lパチスロ ありふれた職業で世界最強,4.0,42,104,-159.1346153846154,766.8846153846154,0.14423076923076922
A-FLAG津,Lパチスロ ありふれた職業で世界最強,5.0,42,102,-106.05882352941177,822.5098039215686,0.14705882352941177
A-FLAG津,Lパチスロ ありふれた職業で世界最強,6.0,43,105,16.114285714285714,808.3428571428572,0.20952380952380953
A-FLAG津,Lパチスロ ありふれた職業で世界最強,7.0,42,102,-173.37254901960785,691.0196078431372,0.1568627450980392
A-FLAG津,Lパチスロ ありふれた職業で世界最強,8.0,42,102,-133.2549019607843,768.4705882352941,0.16666666666666666
A-FLAG津,Lパチスロ ありふれた職業で世界最強,9.0,41,101,-256.74257425742576,771.8910891089109,0.15841584158415842
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,0.0,25,47,-50.659574468085104,611.2553191489362,0.10638297872340426
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,1.0,31,60,-303.95,967.2833333333333,0.1
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,2.0,25,51,-106.01960784313725,834.4509803921569,0.13725490196078433
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,3.0,26,52,103.01923076923077,905.0961538461538,0.28846153846153844
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,4.0,25,50,-332.92,764.04,0.12
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,5.0,26,51,-111.27450980392157,758.0784313725491,0.1568627450980392
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,6.0,27,52,-29.365384615384617,825.9038461538462,0.28846153846153844
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,7.0,25,47,-143.91489361702128,506.25531914893617,0.10638297872340426
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,8.0,24,44,-82.4090909090909,678.9772727272727,0.13636363636363635
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,9.0,25,47,-48.702127659574465,624.4893617021277,0.14893617021276595
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,0.0,28,76,85.63157894736842,1173.8947368421052,0.17105263157894737
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,1.0,35,98,297.7959183673469,1640.6836734693877,0.19387755102040816
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,2.0,28,79,-284.2278481012658,1163.6582278481012,0.22784810126582278
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,3.0,29,78,-521.0769230769231,1564.5,0.16666666666666666
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,4.0,28,76,21.855263157894736,1115.0394736842106,0.23684210526315788
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,5.0,29,77,-186.84415584415584,886.7272727272727,0.12987012987012986
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,6.0,31,84,-254.58333333333334,1135.357142857143,0.21428571428571427
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,7.0,29,80,-302.2,1045.1875,0.15
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,8.0,28,76,108.80263157894737,1080.8684210526317,0.2236842105263158
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,9.0,28,76,-229.43421052631578,1226.2105263157894,0.25
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,0.0,24,80,-189.3625,832.725,0.2
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,1.0,29,97,-21.577319587628867,548.979381443299,0.2268041237113402
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,2.0,22,70,5.3,582.9142857142857,0.17142857142857143
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,3.0,23,74,-155.36486486486487,746.418918918919,0.21621621621621623
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,4.0,22,69,1.318840579710145,617.6086956521739,0.14492753623188406
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,5.0,21,72,-90.125,614.8888888888889,0.1388888888888889
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,6.0,22,75,-41.82666666666667,477.74666666666667,0.16
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,7.0,23,76,27.80263157894737,808.1447368421053,0.17105263157894737
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,8.0,24,80,-247.0625,667.825,0.1125
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,9.0,24,80,-145.075,986.5875,0.225
A-FLAG津,Lパチスロ 炎炎ノ消防隊,0.0,46,162,28.938271604938272,893.604938271605,0.2222222222222222
A-FLAG津,Lパチスロ 炎炎ノ消防隊,1.0,59,211,16.156398104265403,1002.8815165876778,0.2843601895734597
A-FLAG津,Lパチスロ 炎炎ノ消防隊,2.0,48,174,-71.60919540229885,663.9022988505748,0.20689655172413793
A-FLAG津,Lパチスロ 炎炎ノ消防隊,3.0,48,174,-120.04597701149426,979.6436781609195,0.25862068965517243
A-FLAG津,Lパチスロ 炎炎ノ消防隊,4.0,48,174,-49.13793103448276,781.1436781609195,0.26436781609195403
A-FLAG津,Lパチスロ 炎炎ノ消防隊,5.0,47,169,-160.50887573964496,807.508875739645,0.23668639053254437
A-FLAG津,Lパチスロ 炎炎ノ消防隊,6.0,49,177,-134.72881355932202,671.9717514124294,0.20903954802259886
A-FLAG津,Lパチスロ 炎炎ノ消防隊,7.0,48,170,-156.9294117647059,640.564705882353,0.17647058823529413
A-FLAG津,Lパチスロ 炎炎ノ消防隊,8.0,48,168,-114.98214285714286,682.1904761904761,0.2261904761904762
A-FLAG津,Lパチスロ 炎炎ノ消防隊,9.0,47,165,-124.8,1061.3939393939395,0.26666666666666666
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,0.0,7,21,265.9047619047619,3215.0,0.47619047619047616
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,1.0,9,27,165.0,3684.6666666666665,0.2962962962962963
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,2.0,9,27,23.74074074074074,2752.5555555555557,0.3333333333333333
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,3.0,8,24,-1145.2083333333333,3328.7083333333335,0.16666666666666666
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,4.0,9,27,-490.25925925925924,3269.185185185185,0.3333333333333333
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,5.0,9,27,-216.92592592592592,3448.703703703704,0.2222222222222222
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,6.0,9,27,-383.77777777777777,2663.6296296296296,0.18518518518518517
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,7.0,9,27,-537.9629629629629,2565.3703703703704,0.2222222222222222
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,8.0,9,27,-705.7407407407408,3885.074074074074,0.3333333333333333
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,9.0,8,24,-875.2916666666666,4061.0833333333335,0.20833333333333334
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,0.0,16,78,-364.3205128205128,1322.025641025641,0.23076923076923078
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,1.0,20,98,-125.85714285714286,1429.5204081632653,0.25510204081632654
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,2.0,17,83,-137.04819277108433,1014.566265060241,0.20481927710843373
